model_class,acc,kwargs
XGBClassifier,0.8353221957040573,"{'n_estimators': 100, 'max_depth': 8, 'min_child_weight': 4, 'eta': 0.6, 'subsample': 0.8}"
XGBClassifier,0.8448687350835322,"{'n_estimators': 100, 'max_depth': 8, 'min_child_weight': 4, 'eta': 0.6, 'subsample': 1}"
XGBClassifier,0.850835322195704,"{'n_estimators': 100, 'max_depth': 10, 'min_child_weight': 1, 'eta': 0.1, 'subsample': 0.5}"
XGBClassifier,0.8389021479713604,"{'n_estimators': 100, 'max_depth': 10, 'min_child_weight': 1, 'eta': 0.1, 'subsample': 0.8}"
XGBClassifier,0.8544152744630071,"{'n_estimators': 100, 'max_depth': 10, 'min_child_weight': 1, 'eta': 0.1, 'subsample': 1}"
XGBClassifier,0.8317422434367542,"{'n_estimators': 100, 'max_depth': 10, 'min_child_weight': 1, 'eta': 0.3, 'subsample': 0.5}"
XGBClassifier,0.8365155131264916,"{'n_estimators': 100, 'max_depth': 10, 'min_child_weight': 1, 'eta': 0.3, 'subsample': 0.8}"
XGBClassifier,0.8365155131264916,"{'n_estimators': 100, 'max_depth': 10, 'min_child_weight': 1, 'eta': 0.3, 'subsample': 1}"
XGBClassifier,0.8078758949880668,"{'n_estimators': 100, 'max_depth': 10, 'min_child_weight': 1, 'eta': 0.6, 'subsample': 0.5}"
XGBClassifier,0.8436754176610979,"{'n_estimators': 100, 'max_depth': 10, 'min_child_weight': 1, 'eta': 0.6, 'subsample': 0.8}"
XGBClassifier,0.8412887828162291,"{'n_estimators': 100, 'max_depth': 10, 'min_child_weight': 1, 'eta': 0.6, 'subsample': 1}"
XGBClassifier,0.8484486873508353,"{'n_estimators': 100, 'max_depth': 10, 'min_child_weight': 4, 'eta': 0.1, 'subsample': 0.5}"
XGBClassifier,0.8484486873508353,"{'n_estimators': 100, 'max_depth': 10, 'min_child_weight': 4, 'eta': 0.1, 'subsample': 0.8}"
XGBClassifier,0.8329355608591885,"{'n_estimators': 100, 'max_depth': 10, 'min_child_weight': 4, 'eta': 0.1, 'subsample': 1}"
XGBClassifier,0.8317422434367542,"{'n_estimators': 100, 'max_depth': 10, 'min_child_weight': 4, 'eta': 0.3, 'subsample': 0.5}"
XGBClassifier,0.834128878281623,"{'n_estimators': 100, 'max_depth': 10, 'min_child_weight': 4, 'eta': 0.3, 'subsample': 0.8}"
XGBClassifier,0.8389021479713604,"{'n_estimators': 100, 'max_depth': 10, 'min_child_weight': 4, 'eta': 0.3, 'subsample': 1}"
XGBClassifier,0.8186157517899761,"{'n_estimators': 100, 'max_depth': 10, 'min_child_weight': 4, 'eta': 0.6, 'subsample': 0.5}"
XGBClassifier,0.8353221957040573,"{'n_estimators': 100, 'max_depth': 10, 'min_child_weight': 4, 'eta': 0.6, 'subsample': 0.8}"
XGBClassifier,0.8496420047732697,"{'n_estimators': 100, 'max_depth': 10, 'min_child_weight': 4, 'eta': 0.6, 'subsample': 1}"
XGBClassifier,0.8448687350835322,"{'n_estimators': 100, 'max_depth': 12, 'min_child_weight': 1, 'eta': 0.1, 'subsample': 0.5}"
XGBClassifier,0.8520286396181385,"{'n_estimators': 100, 'max_depth': 12, 'min_child_weight': 1, 'eta': 0.1, 'subsample': 0.8}"
XGBClassifier,0.850835322195704,"{'n_estimators': 100, 'max_depth': 12, 'min_child_weight': 1, 'eta': 0.1, 'subsample': 1}"
XGBClassifier,0.837708830548926,"{'n_estimators': 100, 'max_depth': 12, 'min_child_weight': 1, 'eta': 0.3, 'subsample': 0.5}"
XGBClassifier,0.8448687350835322,"{'n_estimators': 100, 'max_depth': 12, 'min_child_weight': 1, 'eta': 0.3, 'subsample': 0.8}"
XGBClassifier,0.847255369928401,"{'n_estimators': 100, 'max_depth': 12, 'min_child_weight': 1, 'eta': 0.3, 'subsample': 1}"
XGBClassifier,0.8186157517899761,"{'n_estimators': 100, 'max_depth': 12, 'min_child_weight': 1, 'eta': 0.6, 'subsample': 0.5}"
XGBClassifier,0.837708830548926,"{'n_estimators': 100, 'max_depth': 12, 'min_child_weight': 1, 'eta': 0.6, 'subsample': 0.8}"
XGBClassifier,0.8305489260143198,"{'n_estimators': 100, 'max_depth': 12, 'min_child_weight': 1, 'eta': 0.6, 'subsample': 1}"
XGBClassifier,0.8520286396181385,"{'n_estimators': 100, 'max_depth': 12, 'min_child_weight': 4, 'eta': 0.1, 'subsample': 0.5}"
XGBClassifier,0.8436754176610979,"{'n_estimators': 100, 'max_depth': 12, 'min_child_weight': 4, 'eta': 0.1, 'subsample': 0.8}"
XGBClassifier,0.8365155131264916,"{'n_estimators': 100, 'max_depth': 12, 'min_child_weight': 4, 'eta': 0.1, 'subsample': 1}"
XGBClassifier,0.8365155131264916,"{'n_estimators': 100, 'max_depth': 12, 'min_child_weight': 4, 'eta': 0.3, 'subsample': 0.5}"
XGBClassifier,0.8520286396181385,"{'n_estimators': 100, 'max_depth': 12, 'min_child_weight': 4, 'eta': 0.3, 'subsample': 0.8}"
XGBClassifier,0.8496420047732697,"{'n_estimators': 100, 'max_depth': 12, 'min_child_weight': 4, 'eta': 0.3, 'subsample': 1}"
XGBClassifier,0.8054892601431981,"{'n_estimators': 100, 'max_depth': 12, 'min_child_weight': 4, 'eta': 0.6, 'subsample': 0.5}"
XGBClassifier,0.8221957040572793,"{'n_estimators': 100, 'max_depth': 12, 'min_child_weight': 4, 'eta': 0.6, 'subsample': 0.8}"
XGBClassifier,0.8293556085918854,"{'n_estimators': 100, 'max_depth': 12, 'min_child_weight': 4, 'eta': 0.6, 'subsample': 1}"
XGBClassifier,0.8484486873508353,"{'n_estimators': 200, 'max_depth': 6, 'min_child_weight': 1, 'eta': 0.1, 'subsample': 0.5}"
XGBClassifier,0.847255369928401,"{'n_estimators': 200, 'max_depth': 6, 'min_child_weight': 1, 'eta': 0.1, 'subsample': 0.8}"
XGBClassifier,0.8329355608591885,"{'n_estimators': 200, 'max_depth': 6, 'min_child_weight': 1, 'eta': 0.1, 'subsample': 1}"
XGBClassifier,0.8389021479713604,"{'n_estimators': 200, 'max_depth': 6, 'min_child_weight': 1, 'eta': 0.3, 'subsample': 0.5}"
XGBClassifier,0.8400954653937948,"{'n_estimators': 200, 'max_depth': 6, 'min_child_weight': 1, 'eta': 0.3, 'subsample': 0.8}"
XGBClassifier,0.8579952267303103,"{'n_estimators': 200, 'max_depth': 6, 'min_child_weight': 1, 'eta': 0.3, 'subsample': 1}"
XGBClassifier,0.8389021479713604,"{'n_estimators': 200, 'max_depth': 6, 'min_child_weight': 1, 'eta': 0.6, 'subsample': 0.5}"
XGBClassifier,0.8412887828162291,"{'n_estimators': 200, 'max_depth': 6, 'min_child_weight': 1, 'eta': 0.6, 'subsample': 0.8}"
XGBClassifier,0.8400954653937948,"{'n_estimators': 200, 'max_depth': 6, 'min_child_weight': 1, 'eta': 0.6, 'subsample': 1}"
XGBClassifier,0.847255369928401,"{'n_estimators': 200, 'max_depth': 6, 'min_child_weight': 4, 'eta': 0.1, 'subsample': 0.5}"
XGBClassifier,0.8484486873508353,"{'n_estimators': 200, 'max_depth': 6, 'min_child_weight': 4, 'eta': 0.1, 'subsample': 0.8}"
XGBClassifier,0.8353221957040573,"{'n_estimators': 200, 'max_depth': 6, 'min_child_weight': 4, 'eta': 0.1, 'subsample': 1}"
XGBClassifier,0.8365155131264916,"{'n_estimators': 200, 'max_depth': 6, 'min_child_weight': 4, 'eta': 0.3, 'subsample': 0.5}"
